series,episode,title,stardate,airdate
DS9,0,Emissary,46379.1,"3 Jan, 1993"
DS9,1,Past Prologue,Unknown,"11 Jan, 1993"
DS9,2,A Man Alone,46421.5,"17 Jan, 1993"
DS9,3,Babel,46423.7,"25 Jan, 1993"
DS9,4,Captive Pursuit,Unknown,"1 Feb, 1993"
DS9,5,Q-less,46531.2,"8 Feb, 1993"
DS9,6,Dax,46910.1,"15 Feb, 1993"
DS9,7,The Passenger,Unknown,"22 Feb, 1993"
DS9,8,Move Along Home,Unknown,"15 Mar, 1993"
DS9,9,The Nagus,Unknown,"22 Mar, 1993"
DS9,10,Vortex,Unknown,"19 Apr, 1993"
DS9,11,Battle Lines,Unknown,"26 Apr, 1993"
DS9,12,The Storyteller,46729.1,"3 May, 1993"
DS9,13,Progress,46844.3,"10 May, 1993"
DS9,14,If Wishes Were Horses,46853.2,"17 May, 1993"
DS9,15,The Forsaken,46925.1,"24 May, 1993"
DS9,16,Dramatis Personae,46922.3,"31 May, 1993"
DS9,17,Duet,Unknown,"14 Jun, 1993"
DS9,18,In the Hands of the Prophets,Unknown,"21 Jun, 1993"
DS9,19,The Homecoming,Unknown,"27 Sep, 1993"
DS9,20,The Circle,Unknown,"4 Oct, 1993"
DS9,21,The Siege,Unknown,"11 Oct, 1993"
DS9,22,Invasive Procedures,47182.1,"18 Oct, 1993"
DS9,23,Cardassians,47177.2,"25 Oct, 1993"
DS9,24,Melora,47229.1,"1 Nov, 1993"
DS9,25,Rules of Acquisition,Unknown,"8 Nov, 1993"
DS9,26,Necessary Evil,47282.5,"15 Nov, 1993"
DS9,27,Second Sight,47329.4,"22 Nov, 1993"
DS9,28,Sanctuary,47391.2,"29 Nov, 1993"
DS9,29,Rivals,Unknown,"3 Jan, 1994"
DS9,30,The Alternate,47391.7,"10 Jan, 1994"
DS9,31,Armageddon Game,Unknown,"31 Jan, 1994"
DS9,32,Whispers,47552.1,"7 Feb, 1994"
DS9,33,Paradise,47573.1,"14 Feb, 1994"
DS9,34,Shadowplay,47603.3,"21 Feb, 1994"
DS9,35,Playing God,Unknown,"28 Feb, 1994"
DS9,36,Profit and Loss,Unknown,"21 Mar, 1994"
